ID,Title,Company,Location,Condition,Job Date,Badge,Apply URL
48952125,[한화계열사] AI 개발자(비전/4년~8년),(주)그로들,서울 강남구,경력 4~8년 대졸↑ 정규직,~ 10/03(목),취업축하금,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48952125
49015274,우리기술 SW 시험자 및 개발자 채용 공고,(주)우리기술,서울 마포구,신입·경력 대졸↑ 정규직,~ 10/13(일),평균연봉 상위 10%,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=49015274
48988474,Data Analyst (주임~차장) [서울],주식회사 리만코리아,서울 강남구,경력 2~10년 고졸↑ 정규직,진행예정,취업축하금,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48988474
48982012,공학 솔루션 기술지원 채용,인트로케이알,서울 강남구,경력 3~8년 석사↑ 정규직,~ 10/08(화),취업축하금,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48982012
48969837,데이터 분석가,(주)뮤즈라이브,서울 마포구,경력 2~10년 고졸↑ 정규직,~ 10/05(토),취업축하금,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48969837
48989812,Product Manager (주니어),(주)스펙터,서울 강남구,경력 2~5년 초대졸↑ 정규직,~ 10/09(수),취업축하금,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48989812
49002530,[병역특례] 인공지능연구원 (전문연구요원),(주)제이엘케이,서울 강남구,경력무관 대졸↑ 전문연구요원·산업기능요원,~ 10/12(토),IPO 투자유치,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=49002530
48901726,[송파/~5000만/재택하이브리드/유명 IT기업/주32시간근무],휴먼링크,서울 송파구,경력3년↑ 학력무관 계약직,채용시,,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48901726
49018039,[경력3년이상] 웹프로그래머 공개채용,주식회사예진,서울 송파구,"경력3년↑ 대졸↑ 정규직 4,000 만원",~ 09/20(금),인기있는,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=49018039
48989877,데이터 사이언티스트,(주)스펙터,서울 강남구,경력 3~15년 대졸↑ 정규직,~ 10/09(수),취업축하금,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48989877
45034450,시스템 개발자 모집,(주)하이보,서울 서초구,경력 1~5년 대졸↑ 정규직,상시채용,취업축하금,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=45034450
49007564,백엔드(Backend) 소프트웨어 엔지니어 채용,(주)딥바이오,서울 구로구,경력 3~5년 고졸↑ 정규직,~ 10/12(토),취업축하금,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=49007564
